DICT Англо-русский словарик на 1665 слов
abandon|эбэндэн|покидать, отказывать
unwield|анвилд|громоздкий
up(on)|ап(он)|к (на)
update|апдэйт|обновить, корректировать
upsi|юписиай|инд. перекл. прогр. польз.
upward|апуод|предшествующий
usage|юзидж|употребление, обычай
use|юз|использовать
utility|утилити|использование, вспомогательный
utilize(ation)|утилайз(шн)|применять(|ние)
valid|вэлид|окончательный
validity|вэлидити|законность
valley|вэли|впадина, (.) min
valuable|вэльюэбл|ценный
value|вэлью|величина, значение
vane|вейн|лопасть
vapo(u)r|вейра|пар
variable|вэариэбл|переменная
variety|вэрайэти|разнообразие, ряд
varification|вэрификайшн|проверка
vary|вэари|изменять
vecinity|висинити|окрестность
vehicle|виикл|летат. аппарат
velocity|вилосити|скорость
vendor|вэндээ|продавец
verb|веоб|глагол
versatility|ворсетайлити|многосторонний
verify|верифаи|проверять, подтверждать
vessel|весл|судно, сосуд
viability|вайэбилити|жизнеспособный
view|вью|вид, взгляд
violation|вайэлэйшн|нарушение
viring|виринг|проводка, схема
visi able|визибл|видимый
viz|виз|то есть, а именно
voice|войс|голос, звук (громкость)
volatile|волетайл|летучий, непостоянный
volume|вольюм|том
vtoc|вток|оглавление тома
wafer|вейфа|пластинка, плата
wait|вэйт|ожидание
walk|воок|блуждание
wall|вол|стена, граница
wander|ванда|блуждать
want|вонт|нужда, хотеть, недоставать
warm|воом|горячий
warning|вонин|предупреждение
waste|вейст|потери, убыток
way|уэй|обычай, дорога, между прочим
weak|виик|слабый
wealth|вэлф|богатство
weight|вэйт|вес
well|вэл|потенц. яма
wheel|виил|колесо, ролик
when|вэн|когда
whereupon|веяапон|после чего
which|вич|который
while|уайл|пока, в то время как
whole|хоул|весь, целый
why|вай|почему, зачем
wide|вайд|широкий
width|видз|ширина
will|вил|вспомог. гл.
willful|вилфул|намеренный
winding|виндин|обмотка
window|виндоу|окно, проем
wing|винг|крыло, ребро
wish|вит|желать
with(out)|виз(аут)|с (без)
withstand|визстэнд|противостоять
word|увоод|слово
working|уокинг|работающий
would|вууд|мнимый
write|райт|записать
wrong|ронг|незаконный, неправильный
year|иа|год
yet|ет|еще, все еще, однако
yield|иилд|давать, выход, отдача
yoke|иок|отклоняющаяся система
zero|зироу|нуль
zone|зоун|пояс, полоса, район, зона
